user_id,category,title,url,thumbnail_url,created_at,description,tags,memo,,
,프로젝트>마케팅사례,,https://minimoremax.com/,,,작심삼일은 당신 탓이 아니다,"life,plan",,,
,프로젝트>노마드>사이드,펫토피아,https://bristolkon.org,,,"펫토피아는 반려동물 가족을 위한 커뮤니티이자, 반려동물의 성장과 건강, 추억을 가족들과 함께 기록하고 공유할 수 있는 플랫폼입니다. 반려동물 관리, 건강 기록, 미용 관리, 가족 트리 등 반려동물과 함께하는 모든 순간을 한 곳에 담을 수 있습니다.","maker2,pat",,,
,프로젝트>노마드>사이드,Capsule,https://capsule.diy,,,"Capsule은 글쓰기가 어렵거나 귀찮은 사람들을 위해 만들어진 작고 빠른 SNS 홍보 도우미입니다. 짧은 글과 원하는 분위기를 정한 뒤 세번의 클릭만으로 고품질의 홍보 게시글을 작성하고 바로 SNS에 업로드할 수 있습니다. 더이상 글쓰기 고민으로 시간을 낭비하지 않아도 되고, 홍보를 하고 싶어하는 사용자들에게 도움을 주고자 개발하게 됐습니다.","maker2,ai,sns",,,
,프로젝트>노마드>사이드,Lemore, https://lemore.life,,,"Lemore는 태국에 거주하는 외국인들을 위한 중고 거래 플랫폼이자, 지역 정보를 공유하고 서로 연결되는 로컬 커뮤니티 공간입니다.""Less is more""라는 이름처럼, 단순히 물건을 사고파는 것을 넘어 불필요한 물건을 정리하며 삶을 정돈하고, 지역 이웃들과 연결되는 경험을 제공합니다.","maker2,life,로컬",,,
,프로젝트>노마드>사이드,LinkVerse – 링크가 지식이 되는 공간,https://linkverse.app,,,"LinkVerse는 북마크를 단순히 저장하는 데서 끝나지 않고, 태그, 메모기능을 통해 ‘나만의 지식 아카이브’를 구성할 수 있는 개인화된 링크 관리 도구입니다. 정보의 바다 속에서 길을 잃지 않도록, 관심사를 분류하고 연결해주는 역할을 합니다. 지식노동자, 개발자, 기획자 등 웹 리소스를 자주 참고하는 사람들에게 특히 유용하지 않을까 생각합니다.","maker2,web",,,
,프로젝트>노마드>사이드,HereNow,https://herenow.nsnm.xyz ,,,기본적으로 특정 공간 내의 물건을 관리할 수 있는 서비스입니다.,"maker2,stuff,정리",,,
,프로젝트>노마드>사이드,Pouch Bus,https://pouchbus.com,,,버스 도착시간이 들쑥날쑥 할 때 버스 실시간 위치 확인하고 싶을 때,"maker2,버스",,,
,프로젝트>노마드>사이드,what2buy,https://what2buy.cool/,,,인공지능이 어떤 주식을 사면 좋을지 추천해드려요,"maker2,주식",,,
,프로젝트>노마드>사이드,Day Off Today,https://www.dayoff.today/,,,D.O.T. 도자기 공방 홈페이지,"maker2,도자기",,,
,스터디>노마드>커뮤니티,,https://nomadcoders.co/community,,,,"community,nomad",,,
,업무,,,,,,,,,
,가족,,,,,,,,,
,여행,,,,,,,,,
,음악,,,,,,,,,
,etc,,,,,,,,,
